SETOR_ATIV,Cont.Núm - SETOR_ATIV,,,,PERC,Cont.Núm - PERC,,,,,,,,
,,,,,0.202738783800502,1,,,,,,,,
,,,,,0.202744371767762,1,,,,,,,,
,,,,,0.203027006962159,1,,,,,,,,
,,,,,0.203075451202376,1,,,,,,,,
,,,,,0.20309743322434,1,,,,,,,,
,,,,,0.20310850490018,1,,,,,,,,
,,,,,0.203176695195635,1,,,,,,,,
,,,,,0.203499769786805,1,,,,,,,,
,,,,,0.203569861274546,1,,,,,,,,
,,,,,0.2038926040665,1,,,,,,,,
,,,,,0.20390845184624,1,,,,,,,,
,,,,,0.204161063811591,1,,,,,,,,
,,,,,0.204439977513451,1,,,,,,,,
,,,,,0.204548706879663,1,,,,,,,,
,,,,,0.204780523972827,1,,,,,,,,
,,,,,0.204781428311309,1,,,,,,,,
,,,,,0.204928316723535,1,,,,,,,,
,,,,,0.205009991741302,1,,,,,,,,
,,,,,0.205048298115166,1,,,,,,,,
,,,,,0.205185609764321,1,,,,,,,,
,,,,,0.205266036311612,1,,,,,,,,
,,,,,0.205427004704641,1,,,,,,,,
,,,,,0.205564003699425,1,,,,,,,,
,,,,,0.205581773213837,1,,,,,,,,
,,,,,0.205835520955184,1,,,,,,,,
,,,,,0.206063442920751,1,,,,,,,,
,,,,,0.206078431372549,1,,,,,,,,
,,,,,0.206257656045803,1,,,,,,,,
,,,,,0.206280582111556,1,,,,,,,,
,,,,,0.206758443100205,1,,,,,,,,
,,,,,0.207354450604726,1,,,,,,,,
,,,,,0.207457888735059,1,,,,,,,,
,,,,,0.207521372649571,1,,,,,,,,
,,,,,0.207833148499267,1,,,,,,,,
,,,,,0.207967595007943,1,,,,,,,,
,,,,,0.207989574133511,1,,,,,,,,
,,,,,0.208580191038387,1,,,,,,,,
,,,,,0.209248259866136,1,,,,,,,,
,,,,,0.209832751682972,1,,,,,,,,
,,,,,0.210017024006316,1,,,,,,,,
,,,,,0.21025374906717,1,,,,,,,,
,,,,,0.21026254651241,1,,,,,,,,
,,,,,0.210302800794805,1,,,,,,,,
,,,,,0.210342696157632,1,,,,,,,,
,,,,,0.210346366167626,1,,,,,,,,
,,,,,0.210475433821563,1,,,,,,,,
,,,,,0.210772061626462,1,,,,,,,,
,,,,,0.211209684969587,1,,,,,,,,
,,,,,0.211217755791544,1,,,,,,,,
,,,,,0.211349653575168,1,,,,,,,,
,,,,,0.211440330973576,1,,,,,,,,
,,,,,0.211863339805734,1,,,,,,,,
,,,,,0.212548459392453,1,,,,,,,,
,,,,,0.212549577821584,1,,,,,,,,
,,,,,0.212702776333061,1,,,,,,,,
,,,,,0.212814821138905,1,,,,,,,,
,,,,,0.212818231339028,1,,,,,,,,
,,,,,0.213076512813339,1,,,,,,,,
,,,,,0.213226471199392,1,,,,,,,,
,,,,,0.213330204669112,1,,,,,,,,
,,,,,0.213436350380867,1,,,,,,,,
,,,,,0.213554020591685,1,,,,,,,,
,,,,,0.213611242183136,1,,,,,,,,
,,,,,0.213987999264646,1,,,,,,,,
,,,,,0.214007760795208,1,,,,,,,,
,,,,,0.214279623681892,1,,,,,,,,
,,,,,0.214404858174703,1,,,,,,,,
,,,,,0.214476578446214,1,,,,,,,,
,,,,,0.214486580089839,1,,,,,,,,
,,,,,0.214625166967687,1,,,,,,,,
,,,,,0.214820339806246,1,,,,,,,,
,,,,,0.214831149095911,1,,,,,,,,
,,,,,0.214846169269499,1,,,,,,,,
