ANO,SETOR_ATIV,Receitas,Distribuição,Pessoal,Governo,RCT,RCP
2018,Serviços Médicos,33921890,17034867,6586242,3580821,3580130,3279112
2018,Serviços Transporte e Logística,100118135.73,45317154.76,11486635.16,9049942.35,22173299.89,2624496.3
2018,Telecomunicações,159432180,113632049,12303685,41434623,22181363,37707741
2018,Têxtil e Vestuário,37609716.41,17570051.29,6153912.05,4788560.66,3373253.49,3124885.09
2019,Agricultura (Açúcar Álcool e Cana),59997720,20818579,4360587,6495738,7263270,816582
2019,Alimentos,333004244,77437915,38136741,9829264,19349874,9738746
2019,Bancos,556454830,202855843,85512816,23210781,886576,93245670
2019,Bebidas e Fumo,79589129,45172091,4831364,23388888,4763507,12188332
2019,Bolsas de Valores/Mercadorias e Futuros,6576507,5309822,843401,1307716,445501,2713204
2019,Brinquedos e Lazer,2933962,922948,438316,318002,615855,-449225
2019,Comunicação e Informática,9223393.11,5314174.51,3510418.36,1217916.57,641206.7,-55367.12
2019,Comércio (Atacado e Varejo),451718601.98,101381469.67,28158380.67,47487828.98,14439060.32,10873438.69
2019,Construção Civil Mat. Constr. e Decoração,40690930,13184700.66,4391663,3439517.01,4117640.54,1195442.11
2019,Crédito Imobiliário,37021,-59610,15675,-8828,36515,-102972
2019,Educação,17137544,12307780,5698207,675288,3747975,873797
2019,Embalagens,1438658,663162,191085,166716,350511,-45150
2019,Energia Elétrica,380856291.7,203208141.17,19882482.88,102074941.96,36872923.92,41287828.41
2019,Extração Mineral,169025776,29807466,8757164,7046574,19262019,-5256191
2019,Farmacêutico e Higiene,43848775,20351969,7195267,5475795,5865070,1815837
2019,Gráficas e Editoras,2164039,991177,554669,226166,156601,53741
2019,Hospedagem e Turismo,2084390,1073633,504193,271900,409422,-110353
2019,Intermediação Financeira,19076189,18361781,1803932,2910196,666191,12981462
2019,Metalurgia e Siderurgia,158415171.29,37584747.79,15319090.52,7876099.95,9363010.29,5004653.03
2019,Máquinas Equipamentos Veículos e Peças,84440006,27698223,13108572,6778613,6784944,880142
2019,Papel e Celulose,78838197,31544357,6001399,4401941,25515205,-4374188
2019,Petroquímicos e Borracha,65735394,8582946,2230873,2606057,6615346,-2869330
2019,Petróleo e Gás,552649422,281490716,34809180,133990042,52595393,32211358
2019,Saneamento Serv. Água e Gás,10471882.62,6231199.75,1857568.99,1687607.27,1575015.99,1111007.5
2019,Securitização de Recebíveis,27383,11865,14363,478,0,-2976
